id,name,category,glyph,token_source,certified,filename,raw_url
fat-eddie-s,Fat Eddie's,Restaurant,food,stored,false,dir-fat-eddie-s.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-fat-eddie-s.png
the-hutte,The Hutte,Restaurant,food,stored,false,dir-the-hutte.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-hutte.png
the-purple-fiddle,The Purple Fiddle,Restaurant,food,stored,false,dir-the-purple-fiddle.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-purple-fiddle.png
rosemary-s-thyme,Rosemary's Thyme,Restaurant,food,stored,false,dir-rosemary-s-thyme.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-rosemary-s-thyme.png
the-gateway-restaurant,The Gateway Restaurant,Restaurant,food,stored,false,dir-the-gateway-restaurant.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-gateway-restaurant.png
mingo-saloon-lodge,Mingo Saloon & Lodge,Lodging,lodging,stored,false,dir-mingo-saloon-lodge.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-mingo-saloon-lodge.png
outlaw-bar-grill,Outlaw Bar & Grill,Bar,food,stored,false,dir-outlaw-bar-grill.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-outlaw-bar-grill.png
the-tractor-bar,The Tractor Bar,Bar,food,stored,false,dir-the-tractor-bar.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-tractor-bar.png
ez-street,EZ Street,Bar,food,stored,false,dir-ez-street.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-ez-street.png
south-branch-smokehouse,South Branch Smokehouse,Restaurant,food,stored,false,dir-south-branch-smokehouse.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-south-branch-smokehouse.png
rider-s-paradise,Rider's Paradise,Lodging,lodging,stored,false,dir-rider-s-paradise.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-rider-s-paradise.png
full-throttle-at-riders-paradise,Full Throttle at Riders Paradise,Bar,food,stored,false,dir-full-throttle-at-riders-paradise.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-full-throttle-at-riders-paradise.png
brickside-bar-grille,Brickside Bar & Grille,Bar,food,stored,false,dir-brickside-bar-grille.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-brickside-bar-grille.png
the-social-tap,The Social Tap,Bar,food,stored,false,dir-the-social-tap.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-social-tap.png
casey-s-family-restaurant-enterprise,Casey's Family Restaurant - Enterprise,Restaurant,food,stored,false,dir-casey-s-family-restaurant-enterprise.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-casey-s-family-restaurant-enterprise.png
romney-cycles,Romney Cycles,Motorcycle Dealer,moto,stored,false,dir-romney-cycles.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-romney-cycles.png
american-legion-post-71,American Legion Post 71,Club / Post,other,stored,false,dir-american-legion-post-71.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-american-legion-post-71.png
the-corner-shop,The Corner Shop,Restaurant,food,stored,false,dir-the-corner-shop.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-the-corner-shop.png
american-legion-post-15,American Legion Post 15,Club / Post,other,stored,false,dir-american-legion-post-15.png,https://raw.githubusercontent.com/Sara-Rider/wvb-maps/main/renders/dir-american-legion-post-15.png
